,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
NEFL,0.6719475430279432,0.0,3.362695e-05,0.0,0.009900990099009901,6.865687567521133e-05,0.0,0.0,0.010144457068657686
RGS4,0.6706295467879279,0.0,3.362695e-05,0.0,0.009900990099009901,7.975844078572083e-05,0.0,0.0,0.010144457068657686
CD44,0.665146923890493,0.0,3.362695e-05,0.0,0.009900990099009901,6.0080672799861085e-05,0.0,0.0,0.010144457068657686
AMPH,0.6607101829708735,0.0,3.362695e-05,0.0,0.009900990099009901,7.694555354877403e-05,0.0,0.0,0.010144457068657686
COL4A2,0.6603977709451003,0.0,3.362695e-05,0.0,0.009900990099009901,6.573981455233147e-05,0.0,0.0,0.010144457068657686
CARNS1,0.6580095847430909,0.0,3.362695e-05,0.0,0.009900990099009901,6.89127551783284e-05,0.0,0.0,0.010144457068657686
CCK,0.6561161155844173,0.0,3.362695e-05,0.0,0.009900990099009901,6.922856399120009e-05,0.0,0.0,0.010144457068657686
LTF,0.6518374975643265,0.0,3.362695e-05,0.0,0.009900990099009901,7.4827738260957e-05,0.0,0.0,0.010144457068657686
SH3GL2,0.6511227567074521,0.0,3.362695e-05,0.0,0.009900990099009901,7.922434751352456e-05,0.0,0.0,0.010144457068657686
SNAP91,0.6510070054681791,0.0,3.362695e-05,0.0,0.009900990099009901,6.80379490615935e-05,0.0,0.0,0.010144457068657686
SCN3B,0.6505990717408214,0.0,3.362695e-05,0.0,0.009900990099009901,7.735599395003947e-05,0.0,0.0,0.010144457068657686
COL4A1,0.6504543022310665,0.0,3.362695e-05,0.0,0.009900990099009901,7.426145932266042e-05,0.0,0.0,0.010144457068657686
